1,"hamilton",44,"HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
822,"bottas",77,"BOT","Valtteri","Bottas","1989-08-28","Finnish","http://en.wikipedia.org/wiki/Valtteri_Bottas"
830,"max_verstappen",33,"VER","Max","Verstappen","1997-09-30","Dutch","http://en.wikipedia.org/wiki/Max_Verstappen"
20,"vettel",5,"VET","Sebastian","Vettel","1987-07-03","German","http://en.wikipedia.org/wiki/Sebastian_Vettel"
844,"leclerc",16,"LEC","Charles","Leclerc","1997-10-16","Monegasque","http://en.wikipedia.org/wiki/Charles_Leclerc_(racing_driver)"
825,"kevin_magnussen",20,"MAG","Kevin","Magnussen","1992-10-05","Danish","http://en.wikipedia.org/wiki/Kevin_Magnussen"
807,"hulkenberg",27,"HUL","Nico","Hülkenberg","1987-08-19","German","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg"
8,"raikkonen",7,"RAI","Kimi","Räikkönen","1979-10-17","Finnish","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen"
840,"stroll",18,"STR","Lance","Stroll","1998-10-29","Canadian","http://en.wikipedia.org/wiki/Lance_Stroll"
826,"kvyat",26,"KVY","Daniil","Kvyat","1994-04-26","Russian","http://en.wikipedia.org/wiki/Daniil_Kvyat"
842,"gasly",10,"GAS","Pierre","Gasly","1996-02-07","French","http://en.wikipedia.org/wiki/Pierre_Gasly"
815,"perez",11,"PER","Sergio","Pérez","1990-01-26","Mexican","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez"
848,"albon",23,"ALB","Alexander","Albon","1996-03-23","Thai","https://en.wikipedia.org/wiki/Alexander_Albon"
841,"giovinazzi",36,"GIO","Antonio","Giovinazzi","1993-12-14","Italian","http://en.wikipedia.org/wiki/Antonio_Giovinazzi"
847,"russell",63,"RUS","George","Russell","1998-02-15","British","https://en.wikipedia.org/wiki/George_Russell_(racing_driver)"
846,"norris",4,"NOR","Lando","Norris","1999-11-13","British","https://en.wikipedia.org/wiki/Lando_Norris"
9,"kubica",88,"KUB","Robert","Kubica","1984-12-07","Polish","http://en.wikipedia.org/wiki/Robert_Kubica"
154,"grosjean",8,"GRO","Romain","Grosjean","1986-04-17","French","http://en.wikipedia.org/wiki/Romain_Grosjean"
817,"ricciardo",3,"RIC","Daniel","Ricciardo","1989-07-01","Australian","http://en.wikipedia.org/wiki/Daniel_Ricciardo"
832,"sainz",55,"SAI","Carlos","Sainz","1994-09-01","Spanish","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr."
